address,city,soldDate,soldPrice,sqft,zipCode
159 W 53rd St #33D,New York,4-Jan-19,"$905,000 ",798 sqft,10019
,,,,,
630 1st Ave #15C,New York,4-Jan-19,Contact For Estimate,"1,025 sqft",10016
,,,,,
210 West St,New York,4-Jan-19,Contact For Estimate,"289,550 sqft",10282
,,,,,
110 E 87th St #8E,New York,4-Jan-19,"$625,000 ",581 sqft,10128
,,,,,
246 W 17th St #4A,New York,4-Jan-19,"$4,250,000 ","2,033 sqft",10011
,,,,,
235 W End Ave #1H,New York,4-Jan-19,"$590,338 ",533 sqft,10023
,,,,,
250 S End Ave #7F,New York,4-Jan-19,"$495,000 ",506 sqft,10280
,,,,,
456 W 167th St #4F,New York,4-Jan-19,"$500,000 ",558 sqft,10032
,,,,,
404 E 79th St #15F,New York,4-Jan-19,"$730,000 ",582 sqft,10075
,,,,,
210 E 47th St #4G,New York,3-Jan-19,"$600,000 ",387 sqft,10017
,,,,,
20 Pine St #1109,New York,3-Jan-19,"$715,000 ",662 sqft,10005
,,,,,
432 Park Ave #87B,New York,3-Jan-19,Contact For Estimate,"4,028 sqft",10022
,,,,,
342 W 85th St #3C344,New York,3-Jan-19,"$1,212,500 ",824 sqft,10024
,,,,,
201 W 72nd St #14D,New York,10-Jan-19,"$1,725,000 ","1,061 sqft",10023
,,,,,
5 E 22nd St #29B,New York,10-Jan-19,Contact For Estimate,585 sqft,10010
,,,,,
59 John St #3H,New York,10-Jan-19,"$575,000 ",690 sqft,10038
,,,,,
333 Rector Pl #706,New York,10-Jan-19,"$2,675,000 ","2,356 sqft",10280
,,,,,
467 W 163rd St #2,New York,10-Jan-19,"$755,000 ","1,270 sqft",10032
,,,,,
405 E 63rd St #5L,New York,10-Jan-19,"$675,000 ","122,346 sqft",10065
,,,,,
35 W 92nd St #1F,New York,10-Jan-19,"$630,000 ","98,081 sqft",10025
,,,,,
1 Irving Pl #U19D,New York,10-Jan-19,"$1,100,000 ",670 sqft,10003
,,,,,
181 Hudson St #6D,New York,9-Jan-19,Contact For Estimate,"1,840 sqft",10013
,,,,,
353 W 22nd St,New York,9-Jan-19,Contact For Estimate,"3,300 sqft",10011
,,,,,
331 E 50th St,New York,9-Jan-19,Contact For Estimate,"4,220 sqft",10022
,,,,,
2131 Frederick Douglass Blvd #5H,New York,9-Jan-19,"$876,525 ",820 sqft,10026
,,,,,
235 W 75th St #8S,New York,9-Jan-19,"$2,997,613 ",545 sqft,10023
,,,,,
255 Hudson St #2E,New York,9-Jan-19,"$1,400,000 ","1,145 sqft",10013
,,,,,
2094 Frederick Douglass Blvd,New York,9-Jan-19,"$626,000 ",550 sqft,10026
,,,,,
161 W 61st St #22H,New York,9-Jan-19,"$975,000 ",633 sqft,10023
,,,,,
255 E 74th St,New York,9-Jan-19,"$4,800,000 ","2,475 sqft",10021
,,,,,
350 W 42nd St #34F,New York,14-Jan-19,"$1,100,000 ",768 sqft,10036
,,,,,
420 E 86th St #4A,New York,14-Jan-19,"$1,260,000 ","1,186 sqft",10028
,,,,,
135-145 W 70th St #8A,New York,14-Jan-19,"$1,050,000 ",710 sqft,10023
,,,,,
415-423 E 54th St #10F,New York,14-Jan-19,"$1,440,000 ","1,178 sqft",10022
,,,,,
