address,built,city,propertyType,soldDate,soldPrice,sqft,zipCode
105 Delmore St,1960,Staten Island,Unknown,"Jun 4, 2018","525,000","1,230 sqft",10314
149 Redwood Loop,1986,Staten Island,Single-Family Home,"Jun 4, 2018","499,000","2,020 sqft",10309
24 Turf Ct,1975,Staten Island,Multi-Family,"Jun 4, 2018","880,000","2,832 sqft",10314
30 Clinton Ave,1920,Staten Island,Single-Family Home,"Jun 4, 2018","397,959","1,680 sqft",10301
35 Clawson St,1925,Staten Island,Single-Family Home,"Jun 4, 2018","561,000",864 sqft,10306
520 Lisk Ave,1985,Staten Island,Condo,"Jun 4, 2018","310,000","1,158 sqft",10303
75 Essex Dr #1B,1988,Staten Island,Condo,"Jun 4, 2018","317,000",853 sqft,10314
56 Jennifer Pl #12B,1998,Staten Island,Condo,"Jun 4, 2018","415,000",950 sqft,10314
95 Stieg Ave,1976,Staten Island,Unknown,"Jun 4, 2018","489,000","1,472 sqft",10308
1003 Manor Rd,1960,Staten Island,Single-Family Home,"Jun 4, 2018","550,000","1,202 sqft",10314
14 Rochelle Pl,1983,Staten Island,Multi-Family,"Jun 4, 2018","760,000","2,104 sqft",10312
148 Freeborn St,1910,Staten Island,Income/Investment,"Jun 4, 2018","100,000",420 sqft,10306
239 Loretto St,1990,Staten Island,Single-Family Home,"Jun 4, 2018","370,000","1,503 sqft",10307
571 Annadale Rd,1920,Staten Island,Single-Family Home,"Jun 4, 2018","510,000","1,638 sqft",10312
85 Elmwood Park Dr #4,1985,Staten Island,Condo,"Jun 4, 2018","235,000",677 sqft,10314
25 Michelle Ln,1993,Staten Island,Single-Family Home,"May 30, 2018","472,000","1,270 sqft",10306
285 Poultney St,1960,Staten Island,Single-Family Home,"May 30, 2018","490,000",960 sqft,10306
370 Neal Dow Ave,1930,Staten Island,Single-Family Home,ie,"429,114
 ","1,300 sqft",10314
148 Hillside Ave,2001,Staten Island,Multi-Family,"May 31, 2018","610,000","1,584 sqft",10304
30 Penn Ave,1960,Staten Island,Multi-Family,"May 31, 2018","760,000","1,836 sqft",10306
453 Stewart Ave,1960,Staten Island,Single-Family Home,"May 31, 2018","500,000","1,000 sqft",10314
65 Liberty Ave,2016,Staten Island,Single-Family Home,"May 31, 2018","455,286","1,200 sqft",10304
18 Housman Ave,ie,Staten Island,ie,"May 31, 2018","697,501",Lot/Land,10303
217 Spring St,ie,Staten Island,ie,ie," Contact For Estimate
 ",Lot/Land,10304
755 Narrows Rd N #813,1987,Staten Island,Condo,"May 31, 2018","230,000",689 sqft,10304
45 Corona Ave,1986,Staten Island,Multi-Family,"May 31, 2018","579,500","2,342 sqft",10306
15 Tiber Pl,1975,Staten Island,Single-Family Home,"May 31, 2018","1,582,500","4,610 sqft",10301
244 Barclay Ave,1975,Staten Island,Single-Family Home,"May 31, 2018","882,500","2,100 sqft",10312
93 Harrison Ave,1899,Staten Island,Single-Family Home,"May 31, 2018","540,000","2,994 sqft",10302
19 Mercury Ln,1987,Staten Island,Single-Family Home,"May 31, 2018","425,000","1,500 sqft",10314
217 Spring St,1950,Staten Island,Single-Family Home,"May 31, 2018","609,900","1,368 sqft",10304
86 Pelican Cir,1997,Staten Island,Multi-Family,"Jun 1, 2018","608,000","2,275 sqft",10306
58 Timber Ridge Dr,1981,Staten Island,Condo,"Jun 1, 2018","325,000",946 sqft,10306
254 Simonson Ave,1945,Staten Island,Single-Family Home,"Jun 1, 2018","551,789",891 sqft,10303
Graham Blvd,ie,Staten Island,ie,ie," Contact For Estimate
 ",Lot/Land,10305
283 Jewett Ave,2002,Staten Island,Single-Family Home,"Jun 1, 2018","395,000","1,200 sqft",10302
216 Perry Ave,1965,Staten Island,Multi-Family,"Jun 1, 2018","475,000","1,050 sqft",10314
67 Longdale St,1977,Staten Island,Unknown,"Jun 1, 2018","610,000","1,344 sqft",10314
78 Sandywood Ln,1994,Staten Island,Single-Family Home,"Jun 1, 2018","324,000","1,900 sqft",10309
797 Sheldon Ave,1970,Staten Island,Single-Family Home,"Jun 1, 2018","680,000","2,307 sqft",10309
Dongan Hills Ave,ie,Staten Island,ie,ie," Contact For Estimate
 ",Lot/Land,10305
48 Vassar St,1970,Staten Island,Single-Family Home,"Jun 1, 2018","580,000","1,760 sqft",10314
353 Cleveland Ave,1994,Staten Island,Single-Family Home,"Jun 1, 2018","600,000","1,548 sqft",10308
210 Maple Pkwy #41,2004,Staten Island,Condo,ie," Contact For Estimate
 ",521 sqft,10303
32 Egbert Pl,ie,Staten Island,ie,"May 24, 2018","631,315",Lot/Land,10305
10 Cletus St,1965,Staten Island,Unknown,"May 24, 2018","529,000",936 sqft,10305
25 Kramer Pl,1987,Staten Island,Unknown,"May 24, 2018","377,715","1,376 sqft",10302
153 Bedell Ave,1940,Staten Island,Single-Family Home,"May 24, 2018","790,000","2,452 sqft",10307
165 Castleton Ave,1930,Staten Island,Multi-Family,"May 24, 2018","565,000","2,916 sqft",10301
48 Garden St,1999,Staten Island,Single-Family Home,"May 25, 2018","540,000","1,210 sqft",10314
695 Bard Ave,1935,Staten Island,Single-Family Home,"May 25, 2018","559,000","1,748 sqft",10310
182 Oakdale St,1955,Staten Island,Single-Family Home,"May 25, 2018","585,000","1,196 sqft",10308
27 Serena Ct,ie,Staten Island,ie,"May 29, 2018","997,885",Multi-Family,10312
35 Soren St,ie,Staten Island,ie,"May 29, 2018","980,000",Multi-Family,10314
308 S Railroad St,1989,Staten Island,Single-Family Home,"May 29, 2018","684,264","2,812 sqft",10312
45 Burnside Ave,1920,Staten Island,Single-Family Home,"May 29, 2018","524,888","1,240 sqft",10302
62 Devon Loop,1979,Staten Island,Condo,"May 29, 2018","385,000","1,221 sqft",10314
42 Garibaldi Ave,1925,Staten Island,Multi-Family,"May 29, 2018","375,000","1,500 sqft",10306
103 Skyline Dr,1992,Staten Island,Single-Family Home,"May 29, 2018","393,000",936 sqft,10304
137 Lindenwood Rd,1965,Staten Island,Single-Family Home,"May 29, 2018","490,000","1,280 sqft",10308
29 Nicholas Ave,1899,Staten Island,Single-Family Home,"May 29, 2018","315,000","1,464 sqft",10302
51 Belwood Loop,ie,Staten Island,ie,"May 29, 2018","1,323,725",Lot/Land,10307
327 Rudyard St,1960,Staten Island,Single-Family Home,"May 29, 2018","520,000","1,200 sqft",10306
29 Peacock Loop,2002,Staten Island,Single-Family Home,"May 29, 2018","440,000","1,684 sqft",10309
677 Craig Ave,1975,Staten Island,Single-Family Home,"May 29, 2018","550,500","1,802 sqft",10307
14 Patty Ct,1991,Staten Island,Single-Family Home,"May 29, 2018","410,000","1,354 sqft",10312
81 Kensington Ave,1960,Staten Island,Multi-Family,ie,"670,985
 ","2,288 sqft",10305
168 Armstrong Ave,1985,Staten Island,Multi-Family,"May 29, 2018","770,000","2,608 sqft",10308
267A Bruckner Ave,1990,Staten Island,Condo,"May 29, 2018","310,000","1,132 sqft",10303
516 Tarrytown Ave,1997,Staten Island,Single-Family Home,"May 29, 2018","500,000","1,360 sqft",10306
58 Goller Pl,1980,Staten Island,Multi-Family,"May 30, 2018","629,000","1,530 sqft",10314
35 Stern Ct,1989,Staten Island,Single-Family Home,"May 30, 2018","420,000","1,327 sqft",10308
14 Whitwell Pl,1977,Staten Island,Single-Family Home,"May 22, 2018","1,387,500","3,548 sqft",10304
71 Harbor View Pl,1925,Staten Island,Single-Family Home,ie,"846,619
 ","2,618 sqft",10305
379 Seaview Ave #390,2004,Staten Island,Multi-Family,"May 22, 2018","620,000","1,408 sqft",10305
23 Tessa Ct,2004,Staten Island,ie,ie,"       $529,000
      
     ",ie,10304
136 Jacques Ave,1950,Staten Island,Single-Family Home,"May 22, 2018","640,000","1,296 sqft",10306
34 Marianne St,1920,Staten Island,Single-Family Home,"May 22, 2018","521,000","1,208 sqft",10302
23 Hirsch Ln,1995,Staten Island,Single-Family Home,"May 22, 2018","87,500","1,410 sqft",10314
158 Hett Ave,1960,Staten Island,Single-Family Home,ie,"522,874
 ","1,040 sqft",10306
44 Scott Ave,2003,Staten Island,Single-Family Home,"May 22, 2018","660,000","1,280 sqft",10305
61 Eddy St,1955,Staten Island,Single-Family Home,"May 22, 2018","790,000","1,396 sqft",10301
