,address,city,soldDate,soldPrice,sqft,zipCode,borough
10527,134 Shepherd Ave,Brooklyn,10-Oct-18,,2472,11208,Brooklyn
10528,231 Washington Ave,Brooklyn,10-Oct-18,3450000.0,3189,11205,Brooklyn
10529,2825 W 28th St,Brooklyn,10-Oct-18,550000.0,1120,11224,Brooklyn
10530,279 Schaefer St,Brooklyn,10-Oct-18,,3465,11237,Brooklyn
10531,200 E 38th St,Brooklyn,10-Oct-18,680000.0,1312,11203,Brooklyn
10532,5312 Avenue O #3,Brooklyn,10-Oct-18,425000.0,932,11234,Brooklyn
10533,76 Roebling St #4B,Brooklyn,10-Oct-18,1375000.0,1111,11211,Brooklyn
10534,763 E 46th St,Brooklyn,10-Oct-18,630000.0,2080,11203,Brooklyn
10535,2182 59th St,Brooklyn,10-Oct-18,1200000.0,3040,11204,Brooklyn
10536,19 Saint Johns Pl #1B,Brooklyn,10-Oct-18,1099710.0,993,11217,Brooklyn
10537,2695 Shell Rd #3E,Brooklyn,10-Oct-18,500000.0,1126,11223,Brooklyn
10538,148 Ellery St,Brooklyn,11-Oct-18,1200000.0,1944,11206,Brooklyn
10539,145 Park Pl #1F,Brooklyn,11-Oct-18,510000.0,595,11217,Brooklyn
10540,223 Smith St #4R,Brooklyn,11-Oct-18,770000.0,512,11201,Brooklyn
10541,446 Marcy Ave #1A,Brooklyn,11-Oct-18,915000.0,3114,11206,Brooklyn
10542,303 Hemlock St,Brooklyn,11-Oct-18,400000.0,1368,11208,Brooklyn
10543,608 Lorimer St #3R,Brooklyn,11-Oct-18,665000.0,596,11211,Brooklyn
10544,221 Martense St,Brooklyn,11-Oct-18,,3442,11226,Brooklyn
10545,188 Marine Ave,Brooklyn,11-Oct-18,1025000.0,1292,11209,Brooklyn
10546,2601-2629 Emmons Ave #303,Brooklyn,11-Oct-18,,1095,11235,Brooklyn
10547,899 Belmont Ave,Brooklyn,11-Oct-18,,3144,11208,Brooklyn
10548,174 Martense St,Brooklyn,11-Oct-18,,2328,11226,Brooklyn
10549,1914 Coleman St,Brooklyn,11-Oct-18,750000.0,1192,11234,Brooklyn
10550,48 86th St,Brooklyn,11-Oct-18,614990.0,1496,11209,Brooklyn
10551,16 Shale St,Brooklyn,11-Oct-18,,576,11235,Brooklyn
10552,1914 Avenue I,Brooklyn,11-Oct-18,1290000.0,1899,11230,Brooklyn
10553,75 Oceana Dr E #2F,Brooklyn,11-Oct-18,1190000.0,1069,11235,Brooklyn
10554,80 Jewel St,Brooklyn,11-Oct-18,1625000.0,1728,11222,Brooklyn
10555,1 Fairview Pl,Brooklyn,11-Oct-18,900000.0,1408,11226,Brooklyn
10556,8699 26th Ave,Brooklyn,11-Oct-18,900000.0,1540,11214,Brooklyn
10557,70 Clifton Pl,Brooklyn,11-Oct-18,,3348,11238,Brooklyn
10558,2080 77th St #G1,Brooklyn,11-Oct-18,415000.0,850,11214,Brooklyn
10559,556 Halsey St,Brooklyn,11-Oct-18,980000.0,2600,11233,Brooklyn
10560,720 Logan St,Brooklyn,11-Oct-18,575000.0,2000,11208,Brooklyn
10561,860 Troy Ave,Brooklyn,11-Oct-18,875000.0,2800,11203,Brooklyn
10562,76 Spencer St #5L,Brooklyn,11-Oct-18,750000.0,1057,11205,Brooklyn
10563,2025 Avenue T,Brooklyn,11-Oct-18,1250000.0,1800,11229,Brooklyn
10564,2016 W 8th St,Brooklyn,11-Oct-18,1317000.0,3576,11223,Brooklyn
10565,1140 37th St #1G1162,Brooklyn,11-Oct-18,535000.0,808,11218,Brooklyn
10566,94 Fountain Ave,Brooklyn,11-Oct-18,860000.0,2835,11208,Brooklyn
10567,427 Saint Johns Pl #1B,Brooklyn,11-Oct-18,800000.0,770,11238,Brooklyn
10568,240 Autumn Ave,Brooklyn,15-Oct-18,550000.0,2080,11208,Brooklyn
10569,2874 Brighton 3rd St #1,Brooklyn,13-Oct-18,489000.0,789,11235,Brooklyn
